source,variable,table,description,data_type,logic
processing,hh_id,hh,Household ID,numeric,NA
processing,is_complete,hh,"Household, day, or person table record is complete",integer/categorical,NA
passive,first_travel_date,hh,Household's first day of reporting travel,date,NA
passive,last_travel_date,hh,Household's last day of reporting travel,date,NA
processing,sample_segment,hh,Reported home location's sample segment,integer/categorical,NA
processing,signup_platform,hh,Platform household used to complete the signup survey,character,NA
processing,diary_platform,hh,Platform household used to complete the travel diary,character,NA
processing,num_trips,hh,"Number of unlinked trips made by household, person, or person-day",numeric,NA
processing,num_days_complete,hh,Number of days for which household/person has complete survey data,integer/categorical,NA
processing,num_days_complete_weekday,hh,Number of weekdays for which household has complete survey data,integer/categorical,NA
processing,num_complete_mon,hh,Number of Mondays for which household has complete survey data,integer/categorical,NA
processing,num_complete_tue,hh,Number of Tuesdays for which household has complete survey data,integer/categorical,NA
processing,num_complete_wed,hh,Number of Wednesdays for which household has complete survey data,integer/categorical,NA
processing,num_complete_thu,hh,Number of Thursdays for which household has complete survey data,integer/categorical,NA
processing,num_complete_fri,hh,Number of Fridays for which household has complete survey data,integer/categorical,NA
processing,num_days_complete_weekend,hh,Number of weekend days for which household has complete survey data,integer/categorical,NA
processing,num_complete_sat,hh,Number of Saturdays for which household has complete survey data,integer/categorical,NA
processing,num_complete_sun,hh,Number of Sundays for which household has complete survey data,integer/categorical,NA
survey,num_people,hh,Number of people in household,integer/categorical,NA
processing,num_surveyable,hh,Number of surveyable household members (related to Person 1),integer/categorical,NA
processing,num_participants,hh,Number of participants in household (age 18 or over and related to person 1),integer/categorical,NA
processing,num_adults,hh,Number of adults in household,integer/categorical,NA
processing,num_kids,hh,Number of children in household,integer/categorical,NA
processing,num_workers,hh,Number of workers in household,integer/categorical,NA
processing,num_students,hh,Number of students in household,integer/categorical,NA
survey,num_vehicles,hh,Number of vehicles available for use by household,integer/categorical,NA
survey,num_bicycle,hh,Number of bicycles owned by household,integer/categorical,Daily 5: If rMove or (rMove for Web and person 1)
survey,bicycle_type_1,hh,Type(s) of bicycle owned by household: Standard bicycle,integer/categorical,Daily 5: If household has at least one bicycle
survey,bicycle_type_2,hh,Type(s) of bicycle owned by household: Electric-assisted bicycle,integer/categorical,Daily 5: If household has at least one bicycle
survey,bicycle_type_3,hh,Type(s) of bicycle owned by household: Fully electric bicycle,integer/categorical,Daily 5: If household has at least one bicycle
survey,bicycle_type_997,hh,Type(s) of bicycle owned by household: Another type of bicycle,integer/categorical,Daily 5: If household has at least one bicycle
survey,income_detailed,hh,Household income (detailed categories),integer/categorical,NA
processing,income_broad,hh,Household income (broad categories),integer/categorical,NA
survey,residence_type,hh,Household's residence type,integer/categorical,Daily 4: If rMove or (rMove for Web and person 1)
survey,residence_rent_own,hh,Household residence ownership status,integer/categorical,Daily 4: If rMove or (rMove for Web and person 1)
processing,home_tract_2020,hh,Household reported home location's 2020 Census tract,character,NA
processing,sample_home_tract,hh,Sampled home location 2020 Census tract,character,NA
processing,hh_weight,hh,Priority mode for linked trip,numeric,NA
processing,hh_id,person,Household ID,numeric,NA
processing,is_complete,person,"Household, day, or person table record is complete",integer/categorical,NA
processing,num_trips,person,"Number of unlinked trips made by household, person, or person-day",numeric,NA
processing,num_days_complete,person,Number of days for which household/person has complete survey data,integer/categorical,NA
survey,bike_freq,person,Frequency of using a bicycle outside,integer/categorical,Daily 5
survey,bike_store,person,Location bicycles are typically parked or stored,integer/categorical,Daily 5: If household has at least one bicycle
processing,person_id,person,Person ID,numeric,NA
processing,person_num,person,"Person number (Person 1 is whoever filled out the signup survey, other household members are identified in the order that erson 1 listed them in the signup survey)",numeric,NA
processing,hh_is_complete,person,"Person, day, or trip survey from a complete household",integer/categorical,NA
processing,is_participant,person,Person is a survey participant (18+ and related to Person 1),integer/categorical,NA
processing,surveyable,person,Survey participant (related to primary member),integer/categorical,NA
processing,is_proxy,person,Person is reporting travel for another household member,integer/categorical,NA
processing,has_proxy,person,Person is having their travel reported by another household member,integer/categorical,NA
survey,second_home,person,Person regularly spends the night at a second home,integer/categorical,If participant and has a second home
processing,second_home_tract_2020,person,Second home location 2020 Census tract,character,If participant and has a second home
survey,tenure,person,How long person has lived at their current residence,integer/categorical,Daily 4: If rMove or (rMove for Web and person 1)
survey,prev_residence_type,person,Type of previous residence,integer/categorical,Daily 4: If rMove or (rMove for Web and person 1)
survey,prev_residence_zip,person,ZIP code of previous residence,integer/categorical,"Daily 4: If rMove or (rMove for Web and person 1) and tenure is ""5 years or less"""
survey,prev_zip,person,ZIP code of previous residence (specified),character,"Daily 4: If rMove or (rMove for Web and person 1) and tenure is ""5 years or less"" and previous residence is in the US"
processing,prev_zip_in_region,person,Was this person's previous residence in the study area,integer/categorical,"Daily 4: If rMove or (rMove for Web and person 1) and tenure is ""5 years or less"""
processing,num_days,person,Number of days person reported their travel,numeric,NA
survey,relationship,person,Relationship to Person 1,integer/categorical,If household size is greater than 1
survey,age,person,Age,integer/categorical,If participant
survey,gender,person,Gender,integer/categorical,If participant
survey,gender_other,person,Gender-- Other specific,character,"If responded ""Other/prefer to self-describe"" gender"
processing,race,person,Race: Choose all that apply,integer/categorical,Daily 4
survey,race_1,person,Race: African American or Black,integer/categorical,NA
survey,race_2,person,Race: American Indian or Alaska Native,integer/categorical,NA
survey,race_3,person,Race: Asian,integer/categorical,NA
survey,race_4,person,Race: Native Hawaiian or other Pacific Islander,integer/categorical,NA
survey,race_5,person,Race: White,integer/categorical,NA
survey,race_997,person,Race: Other race,integer/categorical,NA
survey,race_999,person,Race: Prefer not to answer,integer/categorical,NA
survey,race_other,person,Race-- Other specified,character,"Daily 4: If responded ""Other"" race"
processing,ethnicity,person,Ethnicity,integer/categorical,Daily 4
survey,ethnicity_1,person,"Ethnicity: Not of Hispanic, Latino, or Spanish origin",integer/categorical,NA
survey,ethnicity_2,person,"Ethnicity: Mexican, Mexican American, Chicano",integer/categorical,NA
survey,ethnicity_3,person,Ethnicity: Puerto Rican,integer/categorical,NA
survey,ethnicity_4,person,Ethnicity: Cuban,integer/categorical,NA
survey,ethnicity_997,person,"Ethnicity: Another Hispanic, Latino, or Spanish origin",integer/categorical,NA
survey,ethnicity_999,person,Ethnicity: Prefer not to answer,integer/categorical,NA
survey,ethnicity_other,person,Ethnicity-- Other,character,"Daily 4: If responded ""Other"" ethnicity"
survey,employment,person,Employment status,integer/categorical,If participant is age 16 or older
survey,num_jobs,person,Number of jobs,integer/categorical,If employed full/part/furloughed/self/volunteer
